Gene Symbol	Annotation
VPS4A:VPS4B	GP
ARID1A:ARID1B	GP
BCL2L1:MCL1	GP
HDAC1:HDAC2	GP
RPS9:	Essential
PSMD2:	Essential
EEF2:	Essential
SNRPD1:	Essential
RAN:	Essential
EIF3A:	Essential
